railroadcode,railroadname,year,incidentnumber,incidentyear,incidentmonth,maintenanceincicidentrai,maintenancerailroadname,maintainenanceincidentnumber,maintenanceincidentyear,maintenanceincidentmonth,gradecrossingid,date,month,day,hour,minute,ampm,time,neareststation,division,countycode,countyname,statecode,statename,highwayname,publicprivatecode,publicprivate,highwayusercode,highwayuser,estimatedvehiclespeed,highwayuserpositioncode,highwayuserposition,equipmentinvolvedcode,equipmentinvolved,railroadcarunitposition,equipmentstruckcode,equipmentstruck,hazmatinvolvementcode,hazmatinvolvement,hazmatreleasedbycode,temperature,visibilitycode,visibility,weatherconditioncode,weathercondition,equipmenttypecode,equipmenttype,tracktypecode,tracktype,trackname,trackclass,numberoflocomotiveunits,numberofcars,trainspeed,estimatedrecordedspeedcode,traindirectioncode,traindirection,crossingwarningexpandedcode1,crossingwarningexpandedcode2,crossingwarningexpandedcode3,crossing_warning_expanded_code_12,crossingwarningexpanded1,crossingwarningexpanded2,crossingwarningexpanded3,crossing_warning_expanded_12,crossingwarningcode,crossingwarning,crossingwarninglocationcode,crossingwarninglocation,warningconnectedtosignal,crossingilluminated,viewobstructioncode,viewobstruction,userskilledforreportingr,usersinjuredforreporting,vehicledamagecost,numbervehicleoccupants,employeeskilledforreport,employeesinjuredforrepor,numberpeopleontrain,form54filed,passengerskilledforrepor,passengersinjuredforrepo,narrative,totalkilledform57,totalinjuredform57,railroadtype,railroadreporting,personskilledforreportin,totalinjuredform55a,district,whistlebancode,whistleban,reportkey,reporting_railroad_company_grouping,reporting_railroad_class,reporting_railroad_smt_grouping,reporting_parent_railroad_code,reporting_parent_railroad_name,reporting_railroad_holding_company,maintenance_railroad_grouping,maintenance_railroad_class,maintenance_railroad_smt_grouping,maintenance_parent_railroad_code,maintenance_parent_railroad_name,maintenance_railroad_holding_company,cityname,vehicledirectioncode,vehicledirection,userstruckbysecondtraincode,highwayuseractioncode,highwayuseraction,driverpassedvehicle,driverconditioncode,drivercondition,driverinvehicle,crossingwarningexpandedcode4,crossingwarningexpanded4,userage,usergender,crossingwarningexpandedcode5,crossingwarningexpanded5,hazmatreleasedby,subdivision,roadwayconditioncode,roadwaycondition,videotaken,videoused,crossingwarningexplanationcode,crossingwarningexplanation
LI,Long Island Rail Road,1985,TS850709,85,07,LI,Long Island Rail Road,TS850709,85,07,338144S,1985-07-22T00:00:00.000,07,22,01,33,AM,1:33 AM,MINEOLA,,059,NASSAU,36,NEW YORK,WILLIS AVENUE,Y,Public,A,Auto,0,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,70.0,4,Dark,3,Rain,2,Passenger Train - Pulling,1,Main,#2 MAIN,4,3.0,8.0,30,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,No,8,Not obstructed,0.0,0.0,500.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS850709198507,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,MINEOLA,2,South,No,4,Stopped on crossing,No,3,Uninjured,No,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,NT850613,85,06,LI,Long Island Rail Road,NT850613,85,06,338216T,1985-06-27T00:00:00.000,06,27,08,03,PM,8:03 PM,JAMESPORT,,103,SUFFOLK,36,NEW YORK,PRIVATE-J.P.CELIE,N,Private,A,Auto,5,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,63.0,4,Dark,3,Rain,4,Work train,1,Main,#1 MAIN,4,2.0,8.0,30,E,4,West,,,,12,,,,,,,0,,,,8,Not obstructed,1.0,0.0,2000.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,1.0,0.0,3L,1,1.0,0.0,1,,,LINT850613198506,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,RIVERHEAD,4,West,No,2,Stopped and then proceeded,No,1,Killed,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS850601,85,06,LI,Long Island Rail Road,TS850601,85,06,338140P,1985-06-04T00:00:00.000,06,04,11,31,AM,11:31 AM,NEW HYDE PARK,,059,NASSAU,36,NEW YORK,12TH ST,Y,Public,A,Auto,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,63.0,2,Day,1,Clear,2,Passenger Train - Pulling,1,Main,#1 MAIN,4,10.0,0.0,35,E,3,East,1,2,,6,Gates,Cantilever FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,No,No,8,Not obstructed,0.0,0.0,1000.0,1.0,0.0,0.0,,Yes,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS850601198506,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,NEW HYDE PARK,2,South,No,2,Stopped and then proceeded,No,,,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS850603,85,06,LI,Long Island Rail Road,TS850603,85,06,338173C,1985-06-06T00:00:00.000,06,06,11,50,PM,11:50 PM,CENTRAL ISLIP,,103,SUFFOLK,36,NEW YORK,LOWELL AVE,Y,Public,A,Auto,0,1,Stalled or stuck on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,69.0,4,Dark,1,Clear,2,Passenger Train - Pulling,1,Main,#1 MAIN,4,2.0,5.0,30,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,Yes,8,Not obstructed,0.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS850603198506,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,ISLIP,2,South,No,4,Stopped on crossing,No,3,Uninjured,No,,,,,,,,,,,,,,
LI,Long Island Rail Road,1985,TS850611,85,06,LI,Long Island Rail Road,TS850611,85,06,338172V,1985-06-27T00:00:00.000,06,27,08,09,PM,8:09 PM,CENTRAL ISLIP,,103,SUFFOLK,36,NEW YORK,CARLETON AVE,Y,Public,A,Auto,5,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,64.0,4,Dark,3,Rain,2,Passenger Train - Pulling,1,Main,#1 MAIN,4,2.0,7.0,30,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,,,1,Both sides,Yes,Yes,8,Not obstructed,0.0,0.0,1500.0,2.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS850611198506,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,ISLIP,2,South,No,4,Stopped on crossing,No,3,Uninjured,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1984,TS841208,84,12,LI,Long Island Rail Road,TS841208,84,12,338038J,1984-12-17T00:00:00.000,12,17,06,10,AM,6:10 AM,SAYVILLE,,103,SUFFOLK,36,NEW YORK,GREENEY AVE,Y,Public,K,Pedestrian,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,40.0,1,Dawn,1,Clear,2,Passenger Train - Pulling,1,Main,2 MONTAUK,4,2.0,5.0,30,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,No,Yes,8,Not obstructed,1.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,1.0,0.0,3L,1,1.0,0.0,1,,,LITS841208198412,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,ISLIP,1,North,No,4,Stopped on crossing,No,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1984,TS841210,84,12,LI,Long Island Rail Road,TS841210,84,12,338063S,1984-12-30T00:00:00.000,12,30,09,50,AM,9:50 AM,BELLPORT,,103,SUFFOLK,36,NEW YORK,STATION RD,Y,Public,K,Pedestrian,,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,36.0,2,Day,2,Cloudy,2,Passenger Train - Pulling,1,Main,#1 MONTAUK,4,1.0,8.0,35,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,,,,No,8,Not obstructed,1.0,0.0,0.0,0.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,1.0,0.0,3L,1,1.0,0.0,1,,,LITS841210198412,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,BROOKHAVEN,2,South,No,4,Stopped on crossing,No,,,,,,,,,,,,,,,,,
LI,Long Island Rail Road,1984,NT841121,84,11,LI,Long Island Rail Road,NT841121,84,11,338087F,1984-11-14T00:00:00.000,11,14,10,49,AM,10:49 AM,SPEONK,,103,SUFFOLK,36,NEW YORK,PRIVATE-FRANCES BROS,N,Private,A,Auto,10,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,50.0,2,Day,1,Clear,2,Passenger Train - Pulling,1,Main,#1 MONTAUK,4,2.0,5.0,60,E,4,West,,,,8,,,,Stop signs,,,1,Both sides,No,Unknown,8,Not obstructed,1.0,0.0,500.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,1.0,0.0,3L,1,1.0,0.0,1,,,LINT841121198411,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,SOUTHAMPTON,1,North,No,2,Stopped and then proceeded,No,1,Killed,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1984,TS841106,84,11,LI,Long Island Rail Road,TS841106,84,11,338365U,1984-11-08T00:00:00.000,11,08,08,20,PM,8:20 PM,LAKEVIEW,,059,NASSAU,36,NEW YORK,WOODFILED AVENUE,Y,Public,A,Auto,10,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,57.0,2,Day,1,Clear,2,Passenger Train - Pulling,1,Main,#1 WEST HEMPSTEAD,4,4.0,0.0,20,E,4,West,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,Unknown,8,Not obstructed,0.0,0.0,100.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS841106198411,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,HEMPSTEAD,1,North,No,4,Stopped on crossing,No,3,Uninjured,Yes,,,,,,,,,,,,,,
LI,Long Island Rail Road,1984,TS841112,84,11,LI,Long Island Rail Road,TS841112,84,11,338045J,1984-11-12T00:00:00.000,11,12,02,45,PM,2:45 PM,SAYVILLE,,103,SUFFOLK,36,NEW YORK,BAYPORT AVENUE,Y,Public,A,Auto,0,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,51.0,2,Day,2,Cloudy,2,Passenger Train - Pulling,1,Main,#2 MONTAUK,4,2.0,5.0,45,E,3,East,1,3,,6,Gates,Standard FLS,,Audible,1,Provided minimum 20-second warning,1,Both sides,Yes,Unknown,8,Not obstructed,0.0,0.0,500.0,1.0,0.0,0.0,,No,0.0,0.0,NoneNoneNoneNoneNone,0.0,0.0,3L,1,0.0,0.0,1,,,LITS841112198411,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,Passenger (Formerly Commuter),Class 3,"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,ISLIP,1,North,No,4,Stopped on crossing,No,3,Uninjured,Yes,,,,,,,,,,,,,,
